Code,Symbol,Name
16580048,ESSARSHPNG,
14091051,INDOTHAI,
17024576,TRITURBINE,
13140032,UJAAS,
14620048,FLEXITUFF,
14060475,PAISALO,
14091052,ONELIFECAP,
12060009,PANAMAPET,
13110121,PGEL,
12540995,APLLTD,
15560046,VASWANI,
13510003,CIMMCO,
11070109,TECHIN,
12540990,BROOKS,
13120108,TDPOWERSYS,
12070113,ASAHISONG,
16490121,FILATEX,
16080043,RUPA,
16690235,TREEHOUSE,
16030105,WINSOME,
15210034,GAYAPROJ,
16090017,BODALCHEM,
17025653,IBULISL,
13510010,WINDMACHIN,
12190034,TIJARIA,
14610001,ELGIRUBCO,
,L&TFH,
11621147,SETUINFRA,
13191588,BGLOBAL,
14011161,INVENTURE,
11560019,RUSHIL,
,KWALITY,
14520022,MAITHANALL,
11610007,ASHIANA,
12120003,DHANUKA,
14011160,WEIZFOREX,
12160004,ESTER,
17040370,DQE,
10530005,VSTTILLERS,
15580079,OMMETALS,
16510019,RELAXO,
12120019,PIIND,
13090018,SYMPHONY,
11050062,VADILALIND,
13570048,SANGHVIFOR,
16590045,TCIDEVELOP,
14010634,PFS,
17028046,LOVABLE,
14091039,DHUNINV,
16070114,INDTERRAIN,
15140003,HFCL,
13510097,TEXRAIL,
13510097,TEXRAIL,
17027916,BILENERGY,
10510005,HINDMOTORS,
17028042,JUBLINDS,
12060092,OMKARCHEM,
15130326,KARMAENG,
14580047,SUMMITSEC,
11040011.06,STEL,
14091036,KICL,
14091035,BFINVEST,
17028045,SURANASOL,
16020174,SPYL,
17025657,FMNL,
14030016,PSB,
11100053,RKDL,
13540020,KIRLOSENG,
14011139,MUTHOOTFIN,
13520357,A2ZINFRA,
17025800,KTIL,
17027967,ZEELEARN,
15110040,MOIL,
10650003,JAMNAAUTO,
16020063,SUMEETINDS,
11600402,RPPINFRA,
15540012,PENIND,
17027970,GRAVITA,
,JINDWORLD,
11510002,ANDHRACEMT,
12080062,IOLCP,
14010233,RESPONIND,
15110007,COALINDIA,
14010124,CGCL,
11621016,PRESTIGE,
11621009,OBEROIRLTY,
15600061,GAL,
15640009,BEDMUTHA,
13520348,CEBBCO,
11600156,ASHOKA,
17025082,WABAG,
16070113,CANTABIL,
11300006,GALLISPAT,
15130276,GREENPOWER,
15210030,RAMKY,
17040405,EROSMEDIA,
17027840,CAREERP,
14011115,SASTASUNDR,
12080004,DEEPAKNTR,
,KILITCH,
14090999,WELINV,
,ORISSAMINE,
15100035,HINDCOPPER,
11050075,ADFFOODS,
16680010,GPPL,
15580114,PRAKASHSTL,
,UGARSUGAR,
12540209,PDPL,
12520177,BAJAJCON,
14090014,IITL,
16620084,AHLWEST,
16620085,AHLEAST,
12530001,BLISSGVS,
11620978,EMAMIREAL,
17080023,HMVL,
11100009,TI,
13530029,TECHNOFAB,
13190175,UMESLTD,
12540922,PARABDRUGS,
13610017,KIRLOSIND,
11100021,PIONDIST,
17020377,SUNDARAM,
11620144,JPINFRATEC,
15130124,SJVN,
15600003,KSL,
15100054,TARAPUR,
11620954,NITESHEST,
17027640,TALWALKARS,
14091019,KIRLOSBROS,
15620001,IMFA,
17040371,ISFT,
16560001,ASIANHOTNR,
13180001,WHIRLPOOL,
16490331,PRADIP,
13191103,PERSISTENT,
13520033,LGBBROSLTD,
13510013,TRF,
14030059,UNITEDBNK,
11600159,MANINFRA,
12190031,TEXMOPIPES,
16690075,DEEPIND,
13150011,KECL,
17020175,ORIENTLTD,
11600362,ARSSINFRA,
17040367,HATHWAY,
11620116,DBREALTY,
12200117,EMMBI,
15070160,THANGAMAYL,
11620941,VASCONEQ,
12540867,SYNCOM,
11290023,JUBLFOOD,
11600361,MBLINFRA,
12540008,ABBOTINDIA,
11120007,NESTLEIND,
12120001,BAYERCROP,
17080067,DBCORP,
12520018.05,GODREJPROP,
15130147,JSWENERGY,
11040009,GILLANDERS,
16690191,DLINKINDIA,
15530028,ARSHIYA,
11600049,AHLUCONT,
17090024,COX&KINGS,
12540270,SHILPAMED,
17024958,REFEX,
15620015,SARDAEN,
12540651,ASTEC,
17040361,DEN,
14580040,SUNTECK,
11060041,ZYDUSWELL,
15130185,RTNPOWER,
13191377,EXPLEOSOL,
16680028,RNAVAL,
11100046,GLOBUSSPR,
12140038,OIL,
16490325,JINDCOT,
15130012,NHPC,
16610491,ADANIPOWER,
13240070,EXCEL,
12070094,VINATIORGA,
14540001,GKWLIMITED,
16560125,MHRIL,
15550007,AJMERA,
16490308,ARROWTEX,
14580035,HINDNATGLS,
10670003,HARITASEAT,
11080022,MAWANASUG,
16070001,FELDVR,
13030039,EUROMULTI,
13191234,GISOLUTION,
,COUNCODOS,
12060043,ALKALI,
14010075,JIKIND,
10510008,TATAMTRDVR,
12540199,NEULANDLAB,
12060010,JOCIL,
14010003,INDBANK,
15110088,20MICRONS,
10660012,WABCOINDIA,
17024845,SICAGEN,
11620132,LPDC,
13570040,LGBFORGE,
15510034,OISL,
17020003,KOKUYOCMLN,
,VINYLINDIA,
11090043,UBL,
15130155,KSK,
16550084,LOTUSEYE,
13130005,GET&D,
10610026,RANEENGINE,
